ticker,company_name,cik,fiscal_year,filing_type,filing_date,data_source,revenue,gross_profit,operating_income,net_income,cash_and_equivalents,total_assets,total_liabilities,long_term_debt,current_debt,operating_cash_flow,capex,shares_outstanding,depreciation_amortization,interest_expense,total_debt,sector_theme,source_type,data_mode,fundamentals_refresh_timestamp
AMP,AMP,820027,2022,10-K,2023-02-23,sec_companyfacts,14347000000.0,,3182000000.0,2559000000.0,8755000000.0,158468000000.0,154855000000.0,,,4407000000.0,182000000.0,,142000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
AMP,AMP,820027,2023,10-K,2024-02-22,sec_companyfacts,16096000000.0,,494000000.0,377000000.0,8620000000.0,175191000000.0,170462000000.0,,,4685000000.0,184000000.0,,151000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
AMP,AMP,820027,2024,10-K,2025-02-20,sec_companyfacts,17926000000.0,,4267000000.0,3401000000.0,9489000000.0,181403000000.0,176175000000.0,,,6595000000.0,176000000.0,,142000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
AMP,AMP,820027,2025,10-K,2026-02-19,sec_companyfacts,18911000000.0,,4504000000.0,3563000000.0,11158000000.0,190904000000.0,184355000000.0,,,8323000000.0,162000000.0,,151000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
APO,APO,1858681,2022,10-K,2023-03-01,sec_companyfacts,10968000000.0,,-5815000000.0,-4746000000.0,11128000000.0,259333000000.0,252104000000.0,,,3789000000.0,,,594000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
APO,APO,1858681,2023,10-K,2024-02-27,sec_companyfacts,32644000000.0,,5586000000.0,6509000000.0,17691000000.0,313488000000.0,288243000000.0,,,6322000000.0,,,803000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
APO,APO,1858681,2024,10-K,2025-02-24,sec_companyfacts,26114000000.0,,7435000000.0,6373000000.0,17112000000.0,377895000000.0,346915000000.0,,,3253000000.0,,,1075000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
APO,APO,1858681,2025,10-K,2026-02-25,sec_companyfacts,32049000000.0,,6677000000.0,5401000000.0,20591000000.0,460949000000.0,418434000000.0,,,7246000000.0,,,1431000000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
ARES,ARES,1176948,2022,10-K,2023-02-24,sec_companyfacts,3055443000.0,,510806000.0,438915000.0,389987000.0,22002839000.0,17097810000.0,,,-734112000.0,,,,71356000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
ARES,ARES,1176948,2023,10-K,2024-02-27,sec_companyfacts,3631884000.0,,1333063000.0,885796000.0,348274000.0,24730500000.0,19709151000.0,,,-233261000.0,,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
ARES,ARES,1176948,2024,10-K,2025-02-27,sec_companyfacts,3884781000.0,,1275352000.0,814963000.0,1507976000.0,24884308000.0,17485922000.0,,,2791154000.0,,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
ARES,ARES,1176948,2025,10-K,2026-02-25,sec_companyfacts,5601482000.0,,1286893000.0,834454000.0,488896000.0,28633369000.0,19931981000.0,,,3266959000.0,,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BEN,BEN,38777,2022,10-K,2022-11-14,sec_companyfacts,8275300000.0,,1729400000.0,1333200000.0,4782500000.0,28060600000.0,14235900000.0,,,1956700000.0,90300000.0,,108100000.0,98200000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BEN,BEN,38777,2023,10-K,2023-11-14,sec_companyfacts,7849400000.0,,1415700000.0,1103400000.0,4402400000.0,30121200000.0,16547300000.0,,,1138700000.0,148800000.0,,108200000.0,123700000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BEN,BEN,38777,2024,10-K,2024-11-12,sec_companyfacts,8478000000.0,,823200000.0,607900000.0,4408900000.0,32464500000.0,17899700000.0,,,971300000.0,177100000.0,,129900000.0,97200000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
BEN,BEN,38777,2025,10-K,2025-11-10,sec_companyfacts,8770700000.0,,786800000.0,548900000.0,3573900000.0,32368300000.0,18179500000.0,,,1066100000.0,154500000.0,,141400000.0,94900000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
