ticker,company_name,cik,filing_type,filing_date,accession_number,primary_document,source_type,source_url,chunk_count
HUBS,"HubSpot, Inc.",1404655,10-K,2026-02-11,0001193125-26-046646,hubs-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1404655/000119312526046646/hubs-20251231.htm,388
ROKU,"Roku, Inc.",1428439,10-K,2026-02-13,0001628280-26-008114,roku-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1428439/000162828026008114/roku-20251231.htm,441
OKTA,"Okta, Inc.",1660134,10-K,2026-03-05,0001660134-26-000020,okta-20260131.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1660134/000166013426000020/okta-20260131.htm,369
FSLR,"First Solar, Inc.",1274494,10-K,2026-02-24,0001274494-26-000021,fslr-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1274494/000127449426000021/fslr-20251231.htm,491
TOST,"Toast, Inc.",1650164,10-K,2026-02-18,0001650164-26-000057,tost-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1650164/000165016426000057/tost-20251231.htm,444
ETSY,"Etsy, Inc.",1370637,10-K,2026-02-19,0001370637-26-000019,etsy-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1370637/000137063726000019/etsy-20251231.htm,425
DOCU,"DocuSign, Inc.",1261333,10-K,2026-03-18,0001261333-26-000021,docu-20260131.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1261333/000126133326000021/docu-20260131.htm,379
BILL,"BILL Holdings, Inc.",1786352,10-K,2025-08-28,0001786352-25-000037,bill-20250630.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1786352/000178635225000037/bill-20250630.htm,520
EVR,Evercore Inc.,1360901,10-K,2026-02-20,0001628280-26-010273,evr-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1360901/000162828026010273/evr-20251231.htm,535
NI,NiSource Inc.,1111711,10-K,2026-02-11,0001111711-26-000027,nix-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1111711/000111171126000027/nix-20251231.htm,603
FFIV,"F5, Inc.",1048695,10-K,2025-11-25,0001048695-25-000157,ffiv-20250930.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1048695/000104869525000157/ffiv-20250930.htm,295
BURL,"Burlington Stores, Inc.",1579298,10-K,2026-03-19,0001193125-26-116001,burl-20260131.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1579298/000119312526116001/burl-20260131.htm,358
DPZ,"Domino's Pizza, Inc.",1286681,10-K,2026-02-23,0001193125-26-062321,dpz-20251228.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1286681/000119312526062321/dpz-20251228.htm,397
CNC,Centene Corporation,1071739,10-K,2026-02-17,0001071739-26-000049,cnc-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1071739/000107173926000049/cnc-20251231.htm,505
G,Genpact Limited,1398659,10-K,2026-02-26,0001398659-26-000004,g-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1398659/000139865926000004/g-20251231.htm,529
KIM,Kimco Realty Corporation,879101,10-K,2026-02-20,0001193125-26-060760,kim-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/879101/000119312526060760/kim-20251231.htm,658
PINS,"Pinterest, Inc.",1506293,10-K,2026-02-12,0001506293-26-000021,pins-20251231.htm,real_sec_filing,https://www.sec.gov/Archives/edgar/data/1506293/000150629326000021/pins-20251231.htm,327
